NO,기존주소,도로명주소
277,서울특별시 서초구 반포동 03-03,서울특별시 서초구 신반포로15길 33
278,서울특별시 서초구 반포동 02-12,서울특별시 서초구 신반포로15길 19
279,서울특별시 서초구 반포동 20-43,서울특별시 서초구 신반포로 270
280,서울특별시 관악구 봉천동 1718,서울특별시 관악구 은천로 93
281,서울특별시 관악구 봉천동 1712,서울특별시 관악구 성현로 80
282,서울특별시 구로구 오류동 34-13,서울특별시 구로구 경인로19가길 40
283,서울특별시 강남구 자곡동 619,서울특별시 강남구 자곡로3길 21
284,서울특별시 서초구 방배동 474-9,서울특별시 서초구 효령로5길 9
285,서울특별시 서초구 방배동 1015,서울특별시 서초구 방배로 14
286,서울특별시 동작구 흑석동 328,서울특별시 동작구 서달로1길 17
287,서울특별시 동작구 상도동 415,서울특별시 동작구 상도로 320
288,서울특별시 강남구 수서동 746,서울특별시 강남구 광평로19길 10
289,서울특별시 구로구 구로동 1289,서울특별시 구로구 구일로2길 29
290,서울특별시 구로구 구로동 1275,서울특별시 구로구 구로중앙로18길 56
291,서울특별시 서초구 우면동 773,서울특별시 서초구 양재대로2길 90
292,서울특별시 영등포구 신길동 4945,서울특별시 영등포구 가마산로 442
293,서울특별시 도봉구 창동 373,서울특별시 도봉구 덕릉로 350
294,서울특별시 중랑구 신내동 816,서울특별시 중랑구 신내역로1길 85
295,서울특별시 강북구 번동 133-1,서울특별시 강북구 한천로109길 69
296,서울특별시 중구 황학동 2545,서울특별시 중구 청계천로 400
297,서울특별시 노원구 월계동 929,서울특별시 노원구 석계로 49
298,서울특별시 광진구 광장동 576,서울특별시 광진구 아차산로69길 19
299,서울특별시 중구 흥인동 119,서울특별시 중구 퇴계로75길 7
300,서울특별시 동대문구 이문동 64,서울특별시 동대문구 한천로58길 47
301,서울특별시 용산구 이촌동 404,서울특별시 용산구 이촌로71길 10
302,서울특별시 종로구 홍파동 199,서울특별시 종로구 송월길 99
303,서울특별시 성동구 금호동2가 1,서울특별시 성동구 금호로 173
304,서울특별시 강북구 미아동 1354,서울특별시 강북구 솔샘로 159
305,서울특별시 성북구 정릉동 1033,서울특별시 성북구 북악산로 742-12
306,서울특별시 용산구 이촌동 301-160,서울특별시 용산구 이촌로 303
307,서울특별시 강북구 미아동 1354,서울특별시 강북구 솔샘로 159
308,서울특별시 광진구 구의동 631-1,서울특별시 광진구 광나루로56길 29
309,서울특별시 용산구 한강로2가 02-11,서울특별시 용산구 한강대로43길 13
310,서울특별시 강동구 강일동 707,서울특별시 강동구 상일로 152
311,서울특별시 강동구 성내동 603,서울특별시 강동구 양재대로81길 16
312,서울특별시 강동구 명일동 332,서울특별시 강동구 상암로51길 54
313,서울특별시 강동구 길동 347-27,서울특별시 강동구 천중로49길 11
314,서울특별시 송파구 거여동 697,서울특별시 송파구 거마로 56
315,서울특별시 강동구 길동 400,서울특별시 강동구 천호대로193길 37
316,서울특별시 송파구 마천동 582,서울특별시 송파구 성내천로37길 37
317,서울특별시 강동구 상일동 515,서울특별시 강동구 고덕로80길 134
318,서울특별시 강동구 암사동 509,서울특별시 강동구 상암로 11
319,서울특별시 강서구 내발산동 657,서울특별시 강서구 강서로 348
320,서울특별시 노원구 공릉동 81,서울특별시 노원구 공릉로34길 62
321,서울특별시 서대문구 홍은동 455,서울특별시 서대문구 세검정로1길 95
322,서울특별시 마포구 성산동 446,서울특별시 마포구 월드컵북로 235
323,서울특별시 마포구 성산동 446,서울특별시 마포구 월드컵북로 235
324,서울특별시 은평구 신사동 359,서울특별시 은평구 은평터널로 164
325,서울특별시 서대문구 홍제동 331,서울특별시 서대문구 통일로39가길 57
326,서울특별시 서대문구 연희동 Feb-91,서울특별시 서대문구 연희로24길 19-13
327,서울특별시 강서구 화곡동 1159,서울특별시 강서구 강서로 266
328,서울특별시 노원구 중계동 161-1,서울특별시 노원구 한글비석로14길 37
329,서울특별시 노원구 중계동 583,서울특별시 노원구 중계로12길 24
330,서울특별시 양천구 신정동 1291,서울특별시 양천구 신정로 225-12
331,서울특별시 양천구 신정동 325,서울특별시 양천구 목동동로 10
332,서울특별시 강서구 염창동 Sep-66,서울특별시 강서구 양천로67길 77
333,서울특별시 강서구 염창동 240-32,서울특별시 강서구 양천로 595
334,서울특별시 은평구 응암동 766,서울특별시 은평구 백련산로 67
335,서울특별시 노원구 상계동 647,서울특별시 노원구 한글비석로 530
336,서울특별시 노원구 상계동 647,서울특별시 노원구 한글비석로 530
337,서울특별시 서대문구 남가좌동 385,서울특별시 서대문구 가재울미래로 2
338,서울특별시 서대문구 남가좌동 387,서울특별시 서대문구 모래내로 151
339,서울특별시 서대문구 남가좌동 376,서울특별시 서대문구 가재울로 45
340,서울특별시 은평구 불광동 645,서울특별시 은평구 불광로 64
341,서울특별시 양천구 신정동 327,서울특별시 양천구 목동동로 100
342,서울특별시 노원구 하계동 284,서울특별시 노원구 공릉로 351
343,서울특별시 서대문구 남가좌동 377,서울특별시 서대문구 증가로 191
344,서울특별시 은평구 진관동 66,서울특별시 은평구 진관3로 33
345,서울특별시 노원구 중계동 161-1,서울특별시 노원구 한글비석로14길 37
346,서울특별시 노원구 중계동 161-1,서울특별시 노원구 한글비석로14길 37
347,서울특별시 노원구 중계동 445,서울특별시 노원구 덕릉로79길 23
348,서울특별시 노원구 상계동 624,서울특별시 노원구 동일로227길 86
349,서울특별시 노원구 공릉동 81,서울특별시 노원구 공릉로34길 62
350,서울특별시 구로구 신도림동 643,서울특별시 구로구 신도림로 87
351,서울특별시 구로구 신도림동 647,서울특별시 구로구 신도림로 32
352,서울특별시 마포구 염리동 532,서울특별시 마포구 대흥로24길 24
